#{"t_start": 1783133417.3466227, "env_id": "None"}
r,l,t
9.78,157,6799.550588
10.27,167,6810.148604
10.42,156,6820.213391
9.66,142,6829.579183
9.76,163,6839.961131
9.69,193,6851.858871
10.51,215,6864.871543
9.98,133,6873.77902
10.62,153,6883.68236
10.65,204,6896.140044
10.36,153,6906.041114
11.13,126,6914.606274
9.32,180,6925.858232
10.13,146,6935.417027
10.06,170,6946.177614
9.49,183,6957.586393
9.97,177,6968.678301
10.03,153,6978.636777
9.77,133,6987.542463
9.87,133,6996.457141
10.1,167,7007.063253
9.62,166,7017.605864
10.31,158,7027.744917
9.43,165,7038.238865
10.15,149,7047.922944
10.05,160,7058.187709
10.11,118,7066.344794
10.07,151,7076.145607
10.21,171,7086.946977
10.21,128,7095.611773
9.6,137,7104.710626
9.72,182,7116.072786
9.62,154,7126.01574
10.16,175,7137.022427
11.61,134,7145.960582
10.11,183,7157.361333
10.19,125,7165.870226
9.89,141,7175.18598
10.12,163,7185.586099
10.27,188,7197.243426
10.76,196,7209.290463
9.57,206,7221.859225
9.1,178,7233.027679
11.3,157,7243.13821
11.15,129,7251.84922
11.49,144,7261.303534
11.23,134,7270.246142
8.92,169,7280.952158
11.45,141,7290.25987
11.18,214,7303.217644
10.59,191,7315.00546
10.72,191,7326.805591
9.88,141,7336.090042
11.26,121,7344.38701
9.88,146,7353.952281
10.28,182,7365.307006
10.02,181,7376.605864
10.18,169,7387.302127
10.38,154,7397.260599
10.89,138,7406.403508
10.41,187,7418.01371
10.22,155,7428.022462
10.27,155,7438.026107
11.18,127,7446.630708
10.16,158,7456.783383
10.43,202,7469.144697
10.5,143,7478.544621
10.73,131,7487.357124
11.42,222,7500.701232
9.95,165,7511.215679
10.07,150,7520.972648
10.88,223,7534.380318
10.14,150,7544.109208
10.6,128,7552.77431
10.55,178,7563.925673
11.32,139,7573.126898
11.42,148,7582.78634
4.0,88,7589.835568
9.74,170,7600.599339
10.1,155,7610.600459
10.78,170,7621.362863
10.46,158,7631.513778
8.98,209,7644.224194
11.34,164,7654.66606
11.07,154,7664.62925
10.56,176,7675.665822
10.39,185,7687.191136
9.68,183,7698.600621
10.03,175,7709.593702
10.8,182,7720.955026
10.22,182,7732.2997
10.17,174,7743.242313
11.46,137,7752.350992
12.39,149,7762.057455
10.15,121,7770.367541
9.92,157,7780.475955
10.75,180,7791.744668
10.47,172,7802.606502
9.97,133,7811.514593
9.92,150,7821.276242
8.96,185,7832.784765
10.52,168,7843.443367
11.9,146,7852.998456
10.03,171,7863.822653
11.26,149,7873.536326
11.08,135,7882.538087
10.45,182,7893.90465
10.03,155,7903.920002
10.16,177,7915.013247
10.41,210,7927.781925
10.71,150,7937.543527
10.33,179,7948.756099
9.86,160,7959.002173
9.45,189,7970.707828
10.42,160,7980.956709
10.37,149,7990.659785
11.33,150,8000.405619
11.16,135,8009.412992
10.8,124,8017.86583
9.79,156,8027.908641
10.16,172,8038.768126
9.87,168,8049.425004
10.25,152,8059.286746
10.35,132,8068.138504
9.92,132,8076.990539
10.18,138,8086.145313
10.08,128,8094.797331
11.11,129,8103.488335
10.69,140,8112.751715
11.44,146,8122.313917
10.97,131,8131.114216
9.76,152,8140.958246
10.62,122,8149.313072
10.71,142,8158.654599
9.78,169,8169.352169
9.79,181,8180.646619
10.15,178,8192.248173
9.97,127,8200.836038
11.46,128,8209.498969
10.79,119,8217.700485
10.1,193,8229.602937
9.97,172,8240.455539
11.13,135,8249.46385
11.31,126,8258.024441
10.24,130,8266.780064
9.84,144,8276.237275
10.96,126,8284.798878
10.32,131,8293.596696
9.85,118,8301.766962
9.4,126,8310.331954
11.5,121,8318.633948
9.72,147,8328.247567
11.26,166,8338.8038
10.94,132,8347.649636
10.77,151,8357.444328
10.28,124,8365.900841
9.99,150,8375.661713
10.26,145,8385.16561
9.84,123,8393.588939
11.19,120,8401.827625
10.11,123,8410.236399
9.97,134,8419.196829
10.75,124,8427.657231
10.21,133,8436.570753
10.63,146,8446.131404
9.89,149,8455.822881
9.83,124,8464.269346
10.31,142,8473.630781
9.76,148,8483.272966
10.11,143,8492.68831
11.47,130,8501.447617
10.82,119,8509.641922
9.83,148,8519.303339
9.92,166,8529.872127
10.17,132,8538.71212
10.88,123,8547.227239
9.48,144,8556.668058
10.48,140,8565.918197
10.01,125,8574.421101
10.93,116,8582.471707
11.27,165,8592.983164
10.28,143,8602.385805
10.87,114,8610.342207
11.51,127,8618.946964
10.17,117,8627.058125
11.43,122,8635.417655
10.28,121,8643.717999
11.25,127,8652.315917
9.94,142,8661.678972
9.97,134,8670.629012
9.43,114,8678.580436
10.79,128,8687.233061
9.88,128,8695.89464
11.14,132,8704.747442
11.48,129,8713.454167
11.04,138,8722.595733
9.87,130,8731.341643
9.91,118,8739.48955
10.11,137,8748.584457
9.99,127,8757.184648
10.8,118,8765.342887
9.76,117,8773.457611
10.82,122,8781.816196
9.51,125,8790.769094
10.64,127,8799.380374
10.99,120,8807.645473
11.02,120,8815.897077
10.62,157,8826.008358
10.16,122,8834.354333
10.79,127,8842.95823
10.8,121,8851.271542
10.8,116,8859.337913
